artist_name,평균 인기도,Danceability,Energy,Valence,Loudness
NewJeans,64.0,0.73965625,0.62265625,0.55134375,-6.16353125
LE SSERAFIM,58.442622950819676,0.7220163934426229,0.7647540983606557,0.6079836065573769,-5.08383606557377
ENHYPEN,56.576470588235296,0.6156588235294117,0.7533647058823529,0.5773858823529412,-4.934576470588236
TOMORROW X TOGETHER,53.88709677419355,0.622258064516129,0.711758064516129,0.4953177419354839,-5.3704435483870965
Stray Kids,50.97841726618705,0.6708920863309353,0.7867517985611511,0.5139388489208633,-4.2934388489208635
BTS,50.3948717948718,0.6180153846153846,0.7622128205128205,0.5369751282051282,-5.313323076923076
"TOMORROW X TOGETHER, Anitta",48.166666666666664,0.7606666666666667,0.8478333333333333,0.8436666666666667,-3.910833333333333
ATEEZ,47.973509933774835,0.5867576158940397,0.7941125827814569,0.45567417218543044,-5.081622516556291
BLACKPINK,46.328,0.664288,0.731888,0.5143920000000001,-5.399544
ITZY,46.054545454545455,0.7633272727272726,0.8215818181818182,0.6461909090909091,-3.8059
